Query;Precision;Recall;F1
1.0;42.42424242424242;41.17647058823529;41.7910447761194
2.0;0.0;0.0;0.0
3.0;4.0;37.2093023255814;7.223476297968398
4.0;13.636363636363635;33.33333333333333;19.35483870967742
5.0;0.0;0.0;0.0
6.0;5.245901639344262;66.66666666666666;9.726443768996958
7.0;3.0;42.857142857142854;5.607476635514018
8.0;2.2443890274314215;40.909090909090914;4.255319148936171
9.0;9.63855421686747;80.0;17.20430107526882
10.0;14.705882352941178;60.0;23.62204724409449
11.0;21.518987341772153;77.27272727272727;33.66336633663366
12.0;1.8726591760299627;71.42857142857143;3.64963503649635
13.0;0.0;0.0;0.0
14.0;6.341463414634147;23.636363636363637;10.0
15.0;0.0;0.0;0.0
16.0;21.025641025641026;22.77777777777778;21.866666666666664
17.0;12.903225806451612;36.36363636363637;19.047619047619047
18.0;31.914893617021278;71.42857142857143;44.11764705882353
19.0;0.0;0.0;0.0
20.0;9.226932668329177;80.43478260869566;16.554809843400445
21.0;11.504424778761061;52.0;18.84057971014493
22.0;23.18840579710145;22.857142857142858;23.021582733812952
23.0;1.8181818181818181;14.285714285714285;3.2258064516129026
24.0;0.0;0.0;0.0
25.0;22.058823529411764;29.411764705882355;25.210084033613445
26.0;0.0;0.0;0.0
27.0;0.0;0.0;0.0
28.0;38.88888888888889;27.450980392156865;32.18390804597702
29.0;13.223140495867769;36.36363636363637;19.393939393939394
30.0;1.5923566878980893;29.411764705882355;3.021148036253776
31.0;12.643678160919542;18.96551724137931;15.172413793103448
32.0;0.0;0.0;0.0
33.0;26.34730538922156;77.19298245614034;39.285714285714285
34.0;9.411764705882353;82.05128205128204;16.886543535620053
35.0;1.2396694214876034;85.71428571428571;2.443991853360489
36.0;4.964539007092199;77.77777777777779;9.333333333333334
37.0;72.3404255319149;34.69387755102041;46.89655172413792
38.0;0.0;0.0;0.0
39.0;0.0;0.0;0.0
40.0;17.866004962779154;49.31506849315068;26.229508196721312
41.0;2.3474178403755865;66.66666666666666;4.5351473922902485
42.0;10.16949152542373;25.53191489361702;14.545454545454547
43.0;38.51851851851852;53.06122448979592;44.63519313304721
44.0;11.76470588235294;4.285714285714286;6.282722513089005
45.0;63.63636363636363;35.0;45.16129032258064
46.0;0.0;0.0;0.0
47.0;7.099391480730223;58.333333333333336;12.658227848101266
48.0;3.455723542116631;53.333333333333336;6.4908722109533485
49.0;4.455445544554455;50.0;8.18181818181818
50.0;58.333333333333336;28.000000000000004;37.83783783783784
51.0;20.821529745042493;60.99585062240664;31.0454065469905
52.0;1.3888888888888888;50.0;2.7027027027027026
53.0;41.935483870967744;56.52173913043478;48.14814814814815
54.0;13.259668508287293;38.70967741935484;19.753086419753085
55.0;0.0;0.0;0.0
56.0;3.125;6.25;4.166666666666666
57.0;25.925925925925924;68.62745098039215;37.634408602150536
58.0;0.0;0.0;0.0
59.0;14.545454545454545;27.586206896551722;19.047619047619047
60.0;0.0;0.0;0.0
61.0;14.948453608247423;41.42857142857143;21.96969696969697
62.0;33.33333333333333;31.944444444444443;32.6241134751773
63.0;0.0;0.0;0.0
64.0;8.771929824561402;70.0;15.590200445434297
65.0;27.21518987341772;45.744680851063826;34.12698412698413
66.0;17.391304347826086;38.095238095238095;23.88059701492537
67.0;0.0;0.0;0.0
68.0;0.0;0.0;0.0
69.0;7.547169811320755;53.333333333333336;13.223140495867769
70.0;3.9735099337748347;35.294117647058826;7.142857142857144
71.0;0.6069802731411229;66.66666666666666;1.2030075187969926
72.0;5.9459459459459465;84.61538461538461;11.111111111111112
73.0;12.5;38.88888888888889;18.91891891891892
74.0;0.0;0.0;0.0
75.0;7.344632768361582;61.904761904761905;13.131313131313133
76.0;1.185770750988142;17.647058823529413;2.2222222222222214
77.0;0.0;0.0;0.0
78.0;20.33898305084746;46.75324675324675;28.346456692913385
79.0;10.576923076923077;51.162790697674424;17.52988047808765
80.0;2.73972602739726;5.88235294117647;3.7383177570093453
81.0;7.28476821192053;39.285714285714285;12.290502793296088
82.0;11.11111111111111;56.451612903225815;18.56763925729443
83.0;7.729468599033816;50.0;13.389121338912133
84.0;7.43801652892562;56.25;13.138686131386862
85.0;3.8314176245210727;32.25806451612903;6.8493150684931505
86.0;11.71875;63.829787234042556;19.801980198019802
87.0;8.45771144278607;44.73684210526316;14.225941422594143
88.0;2.955665024630542;42.857142857142854;5.52995391705069
89.0;17.105263157894736;76.47058823529412;27.956989247311824
90.0;27.380952380952383;82.14285714285714;41.07142857142857
91.0;23.18840579710145;10.526315789473683;14.479638009049772
92.0;0.0;0.0;0.0
94.0;0.0;0.0;0.0
95.0;0.7594936708860759;33.33333333333333;1.4851485148514851
96.0;66.66666666666666;16.666666666666664;26.66666666666666
97.0;5.0;72.72727272727273;9.356725146198832
98.0;1.6528925619834711;26.666666666666668;3.1128404669260705
99.0;0.0;0.0;0.0
100.0;0.6622516556291391;9.090909090909092;1.234567901234568
