Query;Precision;Recall;F1
1.0;41.935483870967744;38.23529411764706;40.0
2.0;0.0;0.0;0.0
3.0;4.0201005025125625;37.2093023255814;7.256235827664398
4.0;16.666666666666664;33.33333333333333;22.22222222222222
5.0;0.0;0.0;0.0
6.0;5.263157894736842;66.66666666666666;9.75609756097561
7.0;3.015075376884422;42.857142857142854;5.633802816901408
8.0;2.2556390977443606;40.909090909090914;4.275534441805225
9.0;9.63855421686747;80.0;17.204301075268816
10.0;14.85148514851485;60.0;23.809523809523807
11.0;21.518987341772153;77.27272727272727;33.66336633663366
12.0;1.9607843137254901;71.42857142857143;3.8167938931297707
13.0;0.0;0.0;0.0
14.0;8.333333333333332;23.636363636363637;12.322274881516586
15.0;0.0;0.0;0.0
16.0;21.243523316062177;22.77777777777778;21.983914209115284
17.0;12.903225806451612;36.36363636363637;19.04761904761905
18.0;32.608695652173914;71.42857142857143;44.776119402985074
19.0;0.0;0.0;0.0
20.0;9.207161125319693;78.26086956521739;16.475972540045763
21.0;11.504424778761061;52.0;18.840579710144926
22.0;100.0;2.857142857142857;5.555555555555555
23.0;1.8181818181818181;14.285714285714285;3.2258064516129035
24.0;0.0;0.0;0.0
25.0;22.388059701492537;29.411764705882355;25.423728813559322
26.0;0.0;0.0;0.0
27.0;0.0;0.0;0.0
28.0;38.88888888888889;27.450980392156865;32.18390804597701
29.0;13.223140495867769;36.36363636363637;19.393939393939394
30.0;1.5923566878980893;29.411764705882355;3.0211480362537766
31.0;12.643678160919542;18.96551724137931;15.17241379310345
32.0;0.0;0.0;0.0
33.0;26.506024096385545;77.19298245614034;39.46188340807175
34.0;9.55223880597015;82.05128205128204;17.112299465240643
35.0;1.238390092879257;85.71428571428571;2.441505595116989
36.0;5.0359712230215825;77.77777777777779;9.45945945945946
37.0;72.3404255319149;34.69387755102041;46.896551724137936
38.0;0.0;0.0;0.0
39.0;0.0;0.0;0.0
40.0;17.839195979899497;48.63013698630137;26.10294117647059
41.0;2.358490566037736;66.66666666666666;4.555808656036447
42.0;10.256410256410255;25.53191489361702;14.634146341463415
43.0;32.743362831858406;37.755102040816325;35.07109004739337
44.0;11.76470588235294;1.4285714285714286;2.547770700636943
45.0;63.63636363636363;35.0;45.16129032258065
46.0;0.0;0.0;0.0
47.0;7.142857142857142;58.333333333333336;12.727272727272725
48.0;3.4934497816593884;53.333333333333336;6.557377049180328
49.0;4.477611940298507;50.0;8.21917808219178
50.0;58.333333333333336;28.000000000000004;37.837837837837846
51.0;21.379310344827587;77.17842323651453;33.48334833483349
52.0;1.4285714285714286;50.0;2.7777777777777777
53.0;41.935483870967744;56.52173913043478;48.148148148148145
54.0;13.333333333333334;38.70967741935484;19.83471074380165
55.0;0.0;0.0;0.0
56.0;3.125;6.25;4.166666666666667
57.0;25.925925925925924;68.62745098039215;37.634408602150536
58.0;0.0;0.0;0.0
59.0;14.545454545454545;27.586206896551722;19.047619047619044
60.0;0.0;0.0;0.0
61.0;14.948453608247423;41.42857142857143;21.96969696969697
62.0;32.846715328467155;31.25;32.028469750889684
63.0;0.0;0.0;0.0
64.0;8.951406649616368;70.0;15.873015873015872
65.0;26.923076923076923;44.680851063829785;33.599999999999994
66.0;16.78832116788321;36.507936507936506;23.0
67.0;0.0;0.0;0.0
68.0;0.0;0.0;0.0
69.0;8.333333333333332;53.333333333333336;14.414414414414411
70.0;3.9735099337748347;35.294117647058826;7.142857142857144
71.0;0.4796163069544364;66.66666666666666;0.9523809523809523
72.0;5.9459459459459465;84.61538461538461;11.11111111111111
73.0;12.5;38.88888888888889;18.91891891891892
74.0;0.0;0.0;0.0
75.0;6.5;61.904761904761905;11.764705882352944
76.0;1.1952191235059761;17.647058823529413;2.238805970149254
77.0;0.0;0.0;0.0
78.0;20.33898305084746;46.75324675324675;28.346456692913385
79.0;10.576923076923077;51.162790697674424;17.529880478087648
80.0;2.73972602739726;5.88235294117647;3.7383177570093453
81.0;7.28476821192053;39.285714285714285;12.29050279329609
82.0;11.146496815286625;56.451612903225815;18.617021276595747
83.0;7.766990291262135;50.0;13.445378151260504
84.0;7.43801652892562;56.25;13.138686131386862
85.0;3.474903474903475;29.03225806451613;6.206896551724139
86.0;11.76470588235294;63.829787234042556;19.86754966887417
87.0;8.5;44.73684210526316;14.285714285714285
88.0;2.9702970297029703;42.857142857142854;5.555555555555556
89.0;17.105263157894736;76.47058823529412;27.956989247311828
90.0;27.380952380952383;82.14285714285714;41.07142857142857
91.0;23.357664233576642;10.526315789473683;14.512471655328797
92.0;0.0;0.0;0.0
94.0;0.0;0.0;0.0
95.0;0.7614213197969544;33.33333333333333;1.4888337468982633
96.0;66.66666666666666;16.666666666666664;26.666666666666668
97.0;5.333333333333334;72.72727272727273;9.937888198757765
98.0;1.509433962264151;26.666666666666668;2.8571428571428577
99.0;0.0;0.0;0.0
100.0;0.6622516556291391;9.090909090909092;1.2345679012345678
